time,open,close,high,low,volume,ret
2022-01-03,338.295,338.54,341.0816,337.19,14562849.0,-0.005937259998818556
2022-01-04,339.95,336.53,343.0854,331.8711,15997974.0,-0.036727780584197456
2022-01-05,333.02,324.17,335.76,323.84,20564521.0,0.025573001820032637
2022-01-06,322.82,332.46,339.165,322.72,27962809.0,-0.002015280033688116
2022-01-07,332.74,331.79,337.0,328.8801,14722020.0,-0.011211911148618192
2022-01-10,325.31,328.07,328.34,315.43,24942383.0,0.019203218825250667
2022-01-11,326.78,334.37,334.63,325.28,16226847.0,-0.003319675808236444
2022-01-12,335.18,333.26,336.365,330.03,14104858.0,-0.020344475784672578
2022-01-13,334.98,326.48,335.63,325.76,14797109.0,0.016601323205096774
2022-01-14,321.79,331.9,332.73,321.21,16868497.0,0.0
2022-01-17,331.9,331.9,331.9,331.9,0.0,-0.04142814100632719
2022-01-18,323.29,318.15,324.21,317.64,22677332.0,0.004526166902404594
2022-01-19,319.5822,319.59,327.1,319.33,20814740.0,-0.009480897399793409
2022-01-20,323.9,316.56,327.82,315.98,16925030.0,-0.04229845842810209
2022-01-21,314.81,303.17,318.31,303.04,28710717.0,0.018273575881518456
2022-01-24,297.84,308.71,309.53,289.01,38936901.0,-0.027728288685173852
2022-01-25,299.95,300.15,306.23,297.58,25108454.0,-0.018390804597701038
2022-01-26,307.01,294.63,307.51,290.85,28348801.0,3.394087499564158e-05
2022-01-27,297.752,294.64,301.709,294.26,21629922.0,0.023995384197665004
2022-01-28,295.6204,301.71,301.9,293.0333,21871620.0,0.0382817937754798
2022-01-31,300.68,313.26,313.79,299.32,21579474.0,0.01832343740024256
2022-02-01,314.555,319.0,319.6598,312.12,18023796.0,0.012539184952978122
2022-02-02,327.82,323.0,328.0,316.8747,58458280.0,-0.26390092879256966
2022-02-03,244.645,237.76,248.0,235.745,188119925.0,-0.002817967698519497
2022-02-04,234.97,237.09,242.6099,230.11,89342247.0,-0.051372896368467647
2022-02-07,237.7,224.91,238.3,224.01,88613826.0,-0.02103063447601261
2022-02-08,220.85,220.18,225.77,216.15,94729672.0,0.053683349986374695
2022-02-09,224.2,232.0,233.37,222.21,86563275.0,-0.016939655172413803
2022-02-10,228.27,228.07,235.0,226.7,49310356.0,-0.037356951813039774
2022-02-11,228.46,219.55,230.42,218.7701,46156943.0,-0.008426326577089638
2022-02-14,219.31,217.7,221.0,214.78,38184035.0,0.015158474965548896
2022-02-15,220.47,221.0,221.15,215.06,42685473.0,-0.020180995475113206
2022-02-16,212.41,216.54,217.46,212.36,45817457.0,-0.04077768541608928
2022-02-17,214.02,207.71,217.5,207.1601,38747533.0,-0.007462327283231485
2022-02-18,209.39,206.16,210.75,205.18,37128438.0,0.0
2022-02-21,206.16,206.16,206.16,206.16,0.0,-0.019790454016297976
2022-02-22,202.34,202.08,207.48,200.06,39852391.0,-0.017963182897862362
2022-02-23,204.16,198.45,206.94,198.05,44481359.0,0.046107331821617636
2022-02-24,191.06,207.6,208.35,190.22,49957167.0,0.01387283236994219
2022-02-25,204.94,210.48,211.32,203.18,37627551.0,0.0026130748764727763
2022-02-28,207.675,211.03,213.1508,206.83,34239803.0,-0.03572951713026584
2022-03-01,209.87,203.49,211.7517,202.22,27094902.0,0.02270381836945301
2022-03-02,204.775,208.11,209.15,202.02,29452147.0,-0.024698476767094357
2022-03-03,209.015,202.97,209.08,201.42,27263524.0,-0.014337094151845031
2022-03-04,202.37,200.06,205.89,198.79,32146264.0,-0.06293112066380091
2022-03-07,200.79,187.47,200.89,187.28,38560609.0,0.015042406785085616
2022-03-08,187.85,190.29,196.7,186.11,37508149.0,0.04314467391875554
2022-03-09,195.74,198.5,199.1,193.92,31894695.0,-0.016574307304785818
2022-03-10,194.84,195.21,196.28,191.068,24852975.0,-0.03893243174017724
2022-03-11,192.635,187.61,193.56,186.67,34694534.0,-0.0052236021534034505
2022-03-14,187.03,186.63,192.29,185.82,31010462.0,0.028934254942935222
2022-03-15,190.8,192.03,192.28,185.911,31721682.0,0.06040722803728582
2022-03-16,194.7,203.63,203.73,194.52,40640264.0,0.02067475322889556
2022-03-17,201.7,207.84,208.04,201.11,29499681.0,0.041618552732871406
2022-03-18,206.7,216.49,216.8,206.0,52127982.0,-0.023095755000230977
2022-03-21,214.5,211.49,214.71,207.63,30142338.0,0.024398316705281475
2022-03-22,211.37,216.65,219.46,210.18,31998799.0,-0.014724209554581091
2022-03-23,213.33,213.46,216.7988,212.16,23717321.0,0.02862362971985366
2022-03-24,215.0,219.57,220.67,214.79,31502314.0,0.010247301543926834
2022-03-25,220.51,221.82,225.5,218.8901,40039026.0,0.007979442791452573
2022-03-28,222.13,223.59,224.04,219.54,26224141.0,0.02804239903394601
2022-03-29,226.07,229.86,230.89,225.29,31417857.0,-0.00874445314539296
2022-03-30,228.91,227.85,231.151,226.71,25588046.0,-0.024094799210006457
2022-03-31,228.45,222.36,228.49,222.26,24192266.0,0.011198057204533152
2022-04-01,224.55,224.85,227.28,222.7,19544758.0,0.04020458083166556
2022-04-04,225.98,233.89,234.351,225.86,28100826.0,-0.008764803967677093
2022-04-05,234.08,231.84,236.86,231.02,29727181.0,-0.03683574879227047
2022-04-06,226.91,223.3,228.9899,221.405,28995080.0,-0.0015673981191223207
2022-04-07,223.93,222.95,225.52,218.56,21037187.0,-0.0027808925768108006
2022-04-08,222.38,222.33,225.13,220.0283,18375711.0,-0.02640219493545637
2022-04-11,218.42,216.46,220.61,215.2198,20516586.0,-0.010717915550217283
2022-04-12,220.235,214.14,222.03,213.13,20128827.0,0.003969365835434946
2022-04-13,211.82,214.99,216.61,211.33,19231816.0,-0.022373133634122522
2022-04-14,214.89,210.18,214.99,210.0,18379455.0,0.0
2022-04-15,210.18,210.18,210.18,210.18,0.0,0.0028071177086306243
2022-04-18,210.0,210.77,213.38,208.3,16580792.0,0.031029083835460325
2022-04-19,210.52,217.31,218.4299,209.0,20089871.0,-0.07772306842759202
2022-04-20,213.605,200.42,214.16,198.92,43036528.0,-0.061620596746831624
2022-04-21,201.6,188.07,202.965,185.58,49954078.0,-0.02105598979103518
2022-04-22,190.37,184.11,192.72,183.27,36426769.0,0.015642822225843123
2022-04-25,182.73,186.99,187.18,181.655,29281060.0,-0.032301192577143256
2022-04-26,186.63,180.95,187.185,179.5,31747434.0,-0.03315833103067145
2022-04-27,174.43,174.95,181.2099,169.0,71062886.0,0.17593598170905977
2022-04-28,202.92,205.73,208.53,192.9,100890551.0,-0.025567491372186835
2022-04-29,204.46,200.47,212.48,199.9,49193434.0,0.053175038659150964
2022-05-02,201.165,211.13,211.88,200.99,49915289.0,0.004262776488419551
2022-05-03,210.45,212.03,214.8999,208.09,41556267.0,0.053671650238173774
2022-05-04,210.65,223.41,224.3,206.96,41375881.0,-0.06772302045566447
2022-05-05,218.74,208.28,220.17,206.16,41129192.0,-0.021653543307086576
2022-05-06,207.34,203.77,209.38,201.02,34747158.0,-0.037100652696667846
2022-05-09,199.84,196.21,202.57,195.58,36303200.0,0.007339075480352619
2022-05-10,199.51,197.65,202.96,194.19,34452491.0,-0.04507968631419168
2022-05-11,196.325,188.74,200.6742,188.27,31153383.0,0.013245734873370774
2022-05-12,187.055,191.24,198.05,184.78,38262226.0,0.038590253085128534
2022-05-13,192.58,198.62,199.89,191.28,24549844.0,0.00714933037961929
2022-05-16,197.05,200.04,205.37,195.93,27112595.0,0.012897420515896929
2022-05-17,202.115,202.62,205.46,198.36,24872729.0,-0.051228901391767834
2022-05-18,200.0,192.24,201.0,191.63,23959966.0,-0.004941739492301367
2022-05-19,191.2,191.29,195.29,189.6,24446938.0,0.01176224580479901
2022-05-20,194.97,193.54,197.91,187.87,31465570.0,0.013898935620543451
2022-05-23,195.19,196.23,196.9924,191.24,25059161.0,-0.07618610813840898
2022-05-24,180.55,181.28,183.6759,176.11,50406273.0,0.014066637246249014
2022-05-25,180.4,183.83,185.45,179.32,28030194.0,0.042430506446172966
2022-05-26,182.878,191.63,192.8301,182.26,23056455.0,0.01826436361738759
2022-05-27,191.36,195.13,195.3329,189.8,22562727.0,0.0
2022-05-30,195.13,195.13,195.13,195.13,0.0,-0.007635935017680562
2022-05-31,194.885,193.64,197.6,192.01,26131103.0,-0.02582111134063214
2022-06-01,196.51,188.64,199.53,185.0,36623495.0,0.05417726887192553
2022-06-02,188.45,198.86,200.935,187.73,31951582.0,-0.040631600120688005
2022-06-03,195.98,190.78,196.61,189.78,19464993.0,0.018188489359471705
2022-06-06,193.99,194.25,196.92,188.4,30574242.0,0.007207207207207134
2022-06-07,191.93,195.65,196.53,191.49,18828687.0,0.005060056222846887
2022-06-08,194.67,196.64,202.03,194.41,22267154.0,-0.06427990235964187
2022-06-09,194.28,184.0,199.45,183.68,23501579.0,-0.04581521739130434
2022-06-10,183.04,175.57,183.1,175.02,27478354.0,-0.06441875035598343
2022-06-13,170.59,164.26,172.575,164.03,31749304.0,-0.0032265919883112115
2022-06-14,166.03,163.73,166.75,161.3601,27244274.0,0.03432480302937768
